uni,n
NA,8
Albert-Ludwigs-Universität Freiburg,72
Bergische Universität Wuppertal,1
Eberhard Karls Universität Tübingen,3
Fern-Universität in Hagen,7
Freie Universität Berlin,20
Friedrich-Alexander-Universität Erlangen-Nürnberg,5
Friedrich-Schiller-Universität Jena,14
Georg-August-Universität Göttingen,61
Goethe-Universität Frankfurt,40
HAWK Hildesheim,2
Heidelberg,1
Heinrich-Heine-Universität Düsseldorf,5
Hochschule Fresenius Düsseldorf,1
Hochschule Magdeburg-Stendal,1
Hochschule Stendal,1
Humboldt-Universität zu Berlin,2
iran,1
Johannes Gutenberg-Universität Mainz,68
Julius-Maximilians-Universität Würzburg,78
Justus-Liebig-Universität Gießen,73
Katholische Universität Eichstätt-Ingolstadt,1
Leuphana Universität Lüneburg,10
Ludwig-Maximilians-Universität München,56
Martin-Luther-Universität Halle-Wittenberg,2
Medical School Hamburg,3
Otto-Friedrich-Universität Bamberg,43
Otto-von-Guericke-Universität Magdeburg,25
Pädagogische Hochschule Ludwigsburg,1
Philipps-Universität Marburg,20
Psychologische Hochschule Berlin,1
Rheinische Friedrich-Wilhelms-Universität Bonn,74
Ruhr-Universität Bochum,56
Ruprecht-Karls-Universität Heidelberg,29
RWTH Aachen,49
SRH Heidelberg,58
Technische Universität Berlin,1
Technische Universität Braunschweig,3
Technische Universität Chemnitz,56
Technische Universität Darmstadt,7
Technische Universität Dresden,25
Technische Universität Münnchen,1
Universität Bielefeld,66
Universität Bremen,4
Universität des Saarlandes,4
Universität Erfurt,5
Universität Greifswald,23
Universität Hamburg,33
Universität Hildesheim,72
Universität Kassel,3
Universität Koblenz-Landau,64
Universität Konstanz,2
Universität Leipzig,30
Universität Mannheim,42
Universität Osnabrück,87
Universität Potsdam,25
Universität Regensburg,75
Universität Siegen,1
Universität Trier,21
Universität Ulm,5
Universität Wien,1
Universität zu Köln,51
Universität zu Lübeck,1
Universiteit van Amsterdam,1
University of Groningen,6
Westfälische Wilhelms-Universität Münster,47
